id,name,category,price,variants,in_stock,image_url,description,is_featured
SHRT-001,Vertical Stripe Knit Polo - Variant 1,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507834/IMG_8863.JPG_tp01vw.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",True
SHRT-002,Vertical Stripe Knit Polo - Variant 2,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507837/IMG_8864.JPG_vecufu.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",True
SHRT-003,Vertical Stripe Knit Polo - Variant 3,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507836/IMG_8865.JPG_qf4gwi.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",True
SHRT-004,Vertical Stripe Knit Polo - Variant 4,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507839/IMG_8866.JPG_tgwhug.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",False
SHRT-005,Vertical Stripe Knit Polo - Variant 5,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507840/IMG_8867.JPG_w8p1id.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",False
SHRT-006,Vertical Stripe Knit Polo - Variant 6,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507842/IMG_8868.JPG_yi6wdr.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",False
SHRT-007,Vertical Stripe Knit Polo - Variant 7,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507844/IMG_8869.JPG_mryugd.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",False
SHRT-008,Vertical Stripe Knit Polo - Variant 8,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507845/IMG_8870.JPG_pjg4vc.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",False
SHRT-009,Vertical Stripe Knit Polo - Variant 9,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507847/IMG_8871.JPG_ukyjud.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",False
SHRT-010,Vertical Stripe Knit Polo - Variant 10,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507852/IMG_8872.JPG_aelw8g.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",False
SHRT-011,Vertical Stripe Knit Polo - Variant 11,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507851/IMG_8901.JPG_e83ook.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",False
SHRT-012,Vertical Stripe Knit Polo - Variant 12,Shirts,27000,"S, M, L, XL",True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507852/IMG_8902.JPG_ptfmfo.jpg,"Modern knit polo shirt with a stylish quarter-zip collar and bold vertical stripe patterns. Crafted for a premium, athletic fit.",False
SCRF-001,Silk-Finish Paisley Scarf - Variant 1,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507511/IMG_8874.JPG_jmejos.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,True
SCRF-002,Silk-Finish Paisley Scarf - Variant 2,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507512/IMG_8875.JPG_zipm4i.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,True
SCRF-003,Silk-Finish Paisley Scarf - Variant 3,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507513/IMG_8876.JPG_mf6hlu.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,True
SCRF-004,Silk-Finish Paisley Scarf - Variant 4,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507514/IMG_8877.JPG_xf2rqd.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,False
SCRF-005,Silk-Finish Paisley Scarf - Variant 5,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507516/IMG_8878.JPG_o9xpbu.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,False
SCRF-006,Silk-Finish Paisley Scarf - Variant 6,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507518/IMG_8879.JPG_usulfz.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,False
SCRF-007,Silk-Finish Paisley Scarf - Variant 7,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507519/IMG_8880.JPG_kf2uoc.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,False
SCRF-008,Silk-Finish Paisley Scarf - Variant 8,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507520/IMG_8881.JPG_f9azkd.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,False
SCRF-009,Silk-Finish Paisley Scarf - Variant 9,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507523/IMG_8882.JPG_uoyejy.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,False
SCRF-010,Silk-Finish Paisley Scarf - Variant 10,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507524/IMG_8883.JPG_waskmy.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,False
SCRF-011,Silk-Finish Paisley Scarf - Variant 11,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507526/IMG_8884.JPG_ln07so.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,False
SCRF-012,Silk-Finish Paisley Scarf - Variant 12,Scarves,4000,One Size,True,https://res.cloudinary.com/dfnjf2b5q/image/upload/v1778507527/IMG_8885.JPG_fzyvhg.jpg,Exquisite silk-finish scarf featuring a sophisticated paisley design. Perfect for adding a touch of luxury to any outfit.,False
